Date,Open,High,Low,Close,Adj Close,Volume
2011-08-09,3775.000000,3850.000000,3550.000000,3775.000000,3522.359375,2265500
2011-08-10,3775.000000,3925.000000,3725.000000,3775.000000,3522.359375,2015500
2011-08-11,3800.000000,3800.000000,3675.000000,3800.000000,3545.686279,1135500
2011-08-12,3750.000000,3825.000000,3750.000000,3750.000000,3499.032715,510500
2011-08-15,3825.000000,3825.000000,3750.000000,3825.000000,3569.013184,1113500
2011-08-16,3825.000000,3875.000000,3800.000000,3825.000000,3569.013184,358500
2011-08-18,3850.000000,3875.000000,3850.000000,3850.000000,3592.340088,513000
2011-08-19,3675.000000,3825.000000,3675.000000,3675.000000,3429.052002,796000
2011-08-22,3775.000000,3775.000000,3675.000000,3775.000000,3522.359375,855500
2011-08-23,3850.000000,3875.000000,3775.000000,3850.000000,3592.340088,792500
2011-08-24,3875.000000,3900.000000,3850.000000,3875.000000,3615.666992,673500
2011-08-25,3875.000000,3900.000000,3850.000000,3875.000000,3615.666992,462500
2011-08-26,3775.000000,3875.000000,3775.000000,3775.000000,3522.359375,609500
2011-09-05,3775.000000,3825.000000,3750.000000,3775.000000,3522.359375,766000
2011-09-06,3775.000000,3775.000000,3725.000000,3775.000000,3522.359375,271000
2011-09-07,3775.000000,3800.000000,3775.000000,3775.000000,3522.359375,322000
2011-09-08,3875.000000,3875.000000,3800.000000,3875.000000,3615.666992,381000
2011-09-09,3800.000000,3875.000000,3800.000000,3800.000000,3545.686279,221500
2011-09-12,3725.000000,3775.000000,3725.000000,3725.000000,3475.705811,252500
2011-09-13,3725.000000,3750.000000,3650.000000,3725.000000,3475.705811,382000
2011-09-14,3700.000000,3700.000000,3625.000000,3700.000000,3452.378906,324500
2011-09-15,3750.000000,3750.000000,3700.000000,3750.000000,3499.032715,171000
2011-09-16,3750.000000,3750.000000,3700.000000,3750.000000,3499.032715,52000
2011-09-19,3750.000000,3750.000000,3625.000000,3750.000000,3499.032715,175500
2011-09-20,3725.000000,3725.000000,3575.000000,3725.000000,3475.705811,433500
2011-09-21,3725.000000,3750.000000,3675.000000,3725.000000,3475.705811,26000
2011-09-22,3300.000000,3650.000000,3000.000000,3300.000000,3079.148682,619000
2011-09-23,3350.000000,3400.000000,3100.000000,3350.000000,3125.802246,580500
2011-09-26,3100.000000,3325.000000,2950.000000,3100.000000,2892.533691,684500
2011-09-27,3100.000000,3200.000000,3050.000000,3100.000000,2892.533691,3987500
2011-09-28,3125.000000,3225.000000,3075.000000,3125.000000,2915.860596,574500
2011-09-29,3300.000000,3400.000000,3150.000000,3300.000000,3079.148682,2832000
2011-09-30,3325.000000,3375.000000,3275.000000,3325.000000,3102.475586,435000
2011-10-03,3200.000000,3225.000000,3150.000000,3200.000000,2985.841064,1142500
2011-10-04,3200.000000,3325.000000,3100.000000,3200.000000,2985.841064,803500
2011-10-05,3225.000000,3275.000000,3200.000000,3225.000000,3009.167969,1330000
2011-10-06,3500.000000,3550.000000,3300.000000,3500.000000,3265.763672,373000
2011-10-07,3600.000000,3625.000000,3500.000000,3600.000000,3359.071045,1833500
2011-10-10,3600.000000,3625.000000,3600.000000,3600.000000,3359.071045,1354000
2011-10-11,3700.000000,3750.000000,3675.000000,3700.000000,3452.378906,215500
2011-10-12,3750.000000,3750.000000,3700.000000,3750.000000,3499.032715,295500
2011-10-13,3750.000000,3775.000000,3725.000000,3750.000000,3499.032715,689000
2011-10-14,3700.000000,3725.000000,3700.000000,3700.000000,3452.378906,368500
2011-10-17,3800.000000,3950.000000,3750.000000,3800.000000,3545.686279,270000
2011-10-18,3800.000000,3825.000000,3600.000000,3800.000000,3545.686279,205500
2011-10-19,3850.000000,3850.000000,3775.000000,3850.000000,3592.340088,1362500
2011-10-20,3700.000000,3825.000000,3675.000000,3700.000000,3452.378906,229000
2011-10-21,3675.000000,3700.000000,3650.000000,3675.000000,3429.052002,188500
2011-10-24,3700.000000,3725.000000,3675.000000,3700.000000,3452.378906,218500
2011-10-25,3725.000000,3750.000000,3650.000000,3725.000000,3475.705811,259500
2011-10-26,3800.000000,3800.000000,3700.000000,3800.000000,3545.686279,59500
2011-10-27,3800.000000,3800.000000,3750.000000,3800.000000,3545.686279,1029500
2011-10-28,3825.000000,3850.000000,3750.000000,3825.000000,3569.013184,747500
2011-10-31,3750.000000,3775.000000,3675.000000,3750.000000,3499.032715,292500
2011-11-01,3675.000000,3750.000000,3675.000000,3675.000000,3429.052002,203000
2011-11-02,3700.000000,3725.000000,3675.000000,3700.000000,3452.378906,259000
2011-11-03,3650.000000,3675.000000,3650.000000,3650.000000,3405.725098,295500
2011-11-04,3725.000000,3725.000000,3675.000000,3725.000000,3475.705811,502500
2011-11-07,3675.000000,3700.000000,3650.000000,3675.000000,3429.052002,216500
2011-11-08,3675.000000,3675.000000,3675.000000,3675.000000,3429.052002,216500
2011-11-09,3675.000000,3700.000000,3675.000000,3675.000000,3429.052002,259000
2011-11-10,3650.000000,3675.000000,3550.000000,3650.000000,3405.725098,149500
2011-11-11,3625.000000,3650.000000,3625.000000,3625.000000,3382.397949,7500
2011-11-14,3625.000000,3700.000000,3625.000000,3625.000000,3382.397949,236500
2011-11-15,3600.000000,3600.000000,3600.000000,3600.000000,3359.071045,105500
2011-11-16,3525.000000,3575.000000,3525.000000,3525.000000,3289.090576,669500
2011-11-17,3550.000000,3550.000000,3475.000000,3550.000000,3312.417236,123500
2011-11-18,3525.000000,3525.000000,3500.000000,3525.000000,3289.090576,43500
2011-11-21,3500.000000,3525.000000,3475.000000,3500.000000,3265.763672,176500
2011-11-22,3575.000000,3575.000000,3350.000000,3575.000000,3335.744141,755500
2011-11-23,3450.000000,3500.000000,3450.000000,3450.000000,3219.109863,48000
2011-11-24,3350.000000,3450.000000,3325.000000,3350.000000,3125.802246,311000
2011-11-25,3350.000000,3350.000000,3325.000000,3350.000000,3125.802246,66000
2011-11-28,3425.000000,3425.000000,3200.000000,3425.000000,3195.782959,848000
2011-11-29,3375.000000,3400.000000,3300.000000,3375.000000,3149.129150,565000
2011-11-30,3400.000000,3475.000000,3350.000000,3400.000000,3172.456055,450000
2011-12-01,3400.000000,3400.000000,3400.000000,3400.000000,3172.456055,0
2011-12-02,3325.000000,3375.000000,3325.000000,3325.000000,3102.475586,288000
2011-12-05,3400.000000,3425.000000,3325.000000,3400.000000,3172.456055,807500
2011-12-06,3400.000000,3425.000000,3375.000000,3400.000000,3172.456055,138000
2011-12-07,3375.000000,3375.000000,3375.000000,3375.000000,3149.129150,61500
2011-12-08,3300.000000,3450.000000,3300.000000,3300.000000,3079.148682,107500
2011-12-09,3225.000000,3300.000000,3175.000000,3225.000000,3009.167969,381500
2011-12-12,3300.000000,3350.000000,3250.000000,3300.000000,3079.148682,337000
2011-12-13,3275.000000,3300.000000,3200.000000,3275.000000,3055.821777,87500
2011-12-14,3225.000000,3300.000000,3150.000000,3225.000000,3009.167969,345500
2011-12-15,3225.000000,3250.000000,3125.000000,3225.000000,3009.167969,213000
2011-12-16,3300.000000,3350.000000,3225.000000,3300.000000,3079.148682,558000
2011-12-19,3300.000000,3300.000000,3300.000000,3300.000000,3079.148682,0
2011-12-20,3325.000000,3400.000000,3300.000000,3325.000000,3102.475586,75500
2011-12-21,3300.000000,3350.000000,3300.000000,3300.000000,3079.148682,102000
2011-12-22,3375.000000,3375.000000,3225.000000,3375.000000,3149.129150,70500
2011-12-23,3250.000000,3300.000000,3175.000000,3250.000000,3032.494873,699000
2011-12-27,3150.000000,3300.000000,3125.000000,3150.000000,2939.187256,692000
2011-12-28,3200.000000,3200.000000,3100.000000,3200.000000,2985.841064,204500
2011-12-29,3200.000000,3200.000000,3125.000000,3200.000000,2985.841064,208500
2011-12-30,3400.000000,3400.000000,3100.000000,3400.000000,3172.456055,4013500
2012-01-02,3300.000000,3350.000000,3200.000000,3300.000000,3079.148682,556000
2012-01-03,3250.000000,3350.000000,3225.000000,3250.000000,3032.494873,252500
2012-01-04,3200.000000,3300.000000,3150.000000,3200.000000,2985.841064,1205000
2012-01-05,3150.000000,3200.000000,3100.000000,3150.000000,2939.187256,2630000
2012-01-06,3150.000000,3150.000000,3125.000000,3150.000000,2939.187256,1197500
2012-01-09,3175.000000,3175.000000,3125.000000,3175.000000,2962.514160,566000
2012-01-10,3175.000000,3175.000000,3150.000000,3175.000000,2962.514160,510500
